year,sex,first name,count
01/01/1934 12:00:00 AM,F,EVELYN,50
01/01/1934 12:00:00 AM,F,JUNE,50
01/01/1934 12:00:00 AM,F,MARJORIE,50
01/01/1935 12:00:00 AM,F,MARY,485
01/01/1935 12:00:00 AM,F,SHIRLEY,289
01/01/1935 12:00:00 AM,F,MARGARET,181
01/01/1935 12:00:00 AM,F,JOAN,165
01/01/1935 12:00:00 AM,F,MARIE,142
01/01/1935 12:00:00 AM,F,BARBARA,122
01/01/1935 12:00:00 AM,F,ELIZABETH,116
01/01/1935 12:00:00 AM,F,HELEN,115
01/01/1935 12:00:00 AM,F,DOROTHY,106
01/01/1935 12:00:00 AM,F,JEAN,88
01/01/1935 12:00:00 AM,F,CATHERINE,73
01/01/1935 12:00:00 AM,F,JOYCE,66
01/01/1935 12:00:00 AM,F,MARION,64
01/01/1935 12:00:00 AM,F,ANNIE,58
01/01/1935 12:00:00 AM,F,THERESA,58
01/01/1935 12:00:00 AM,F,FLORENCE,57
01/01/1935 12:00:00 AM,F,ALICE,56
01/01/1935 12:00:00 AM,F,BETTY,56
01/01/1935 12:00:00 AM,F,EVELYN,56
01/01/1935 12:00:00 AM,F,ANNA,54
01/01/1935 12:00:00 AM,F,PATRICIA,54
01/01/1935 12:00:00 AM,F,RUTH,54
01/01/1936 12:00:00 AM,F,MARY,506
01/01/1936 12:00:00 AM,F,SHIRLEY,297
01/01/1936 12:00:00 AM,F,MARGARET,227
01/01/1936 12:00:00 AM,F,JOAN,194
01/01/1936 12:00:00 AM,F,MARIE,150
01/01/1936 12:00:00 AM,F,ELIZABETH,127
01/01/1936 12:00:00 AM,F,HELEN,111
01/01/1936 12:00:00 AM,F,JEAN,106
01/01/1936 12:00:00 AM,F,CATHERINE,101
01/01/1936 12:00:00 AM,F,BARBARA,95
01/01/1936 12:00:00 AM,F,DOROTHY,91
01/01/1936 12:00:00 AM,F,FLORENCE,74
01/01/1936 12:00:00 AM,F,JOYCE,70
